,city,city_details,experience,private_experience,alter_experience,sex,age,marital_status,has_children,allow_time_request,experimentGroup,working_with.family,working_with.adults,working_with.lgbt,working_with.believer,working_with.fem,working_with.foreigner,working_with.elderly,education_count,competences_count,methods_count,expertise_count,features_of_work_count,price
276,Москва,м. Славянский бульвар / Пионерская,13,13,3,F,37.0,married,True,True,False,False,True,False,False,False,False,True,5,14,2,7,15,3500
277,Москва,м. Арбатская,7,5,4,F,46.0,married,True,True,False,False,True,False,False,False,False,False,7,4,1,1,12,4500
278,Москва,м. Сухаревская / Новослободская / Менделеевская,6,0,0,F,38.0,married,True,True,False,False,True,False,False,False,False,False,11,4,4,1,13,6000
279,Санкт-Петербург,,27,0,0,F,60.0,married,True,True,True,False,True,False,False,False,False,True,9,4,3,7,8,4000
280,Минск,м. Академия наук,13,13,4,M,45.0,married,True,True,False,False,True,False,False,False,False,False,2,4,1,3,13,4000
281,Санкт-Петербург,м. Сенная,13,0,0,F,39.0,,,True,False,False,True,True,False,False,False,True,4,4,2,3,8,4000
282,Самара,м. Алабинская,10,10,4,M,43.0,married,True,True,False,False,True,False,False,False,False,False,9,4,1,1,13,3000
283,Москва,м. Цветной Бульвар,14,14,3,F,37.0,single,False,True,False,False,True,False,True,False,False,False,9,4,2,5,12,6500
284,Москва,м. Лубянка,2,2,0,F,,,,True,True,False,True,False,False,False,False,False,4,4,1,0,14,4100
285,Симферополь,,17,6,1,F,43.0,married,True,True,True,False,True,False,False,False,False,True,6,11,3,2,11,2880
286,Санкт-Петербург,,7,0,0,F,38.0,married,True,True,True,False,True,False,False,False,False,False,5,10,2,3,13,4000
287,Москва,м. Белорусская,4,4,1,F,34.0,,,True,False,True,True,False,False,False,False,False,9,3,4,2,15,4000
288,Москва,м. Таганская,5,6,2,F,37.0,married,True,True,False,True,True,True,False,False,False,False,12,4,2,1,12,2850
289,Москва,м. Раменки,11,11,3,F,42.0,married,True,True,False,False,True,False,False,False,False,False,6,4,1,3,12,9000
290,Тула,,7,0,0,M,56.0,married,True,True,False,True,True,False,False,False,False,False,9,4,1,5,10,4000
291,Калининград,,2,2,1,M,46.0,single,True,True,False,False,True,True,False,False,False,False,7,4,1,2,15,2850
292,Москва,,5,0,0,F,37.0,married,True,True,False,False,True,False,False,False,False,False,8,4,1,4,11,5000
293,Москва,,6,0,0,F,39.0,married,True,True,False,False,True,False,False,False,False,False,5,4,2,3,11,5000
294,Москва,м. Чистые пруды,26,26,1,F,57.0,,,True,False,False,True,False,False,False,False,True,10,4,2,4,15,5000
295,Тамбов,,3,9,0,F,41.0,married,True,True,True,False,True,False,False,False,False,False,5,4,1,2,16,3800
296,Москва,м. Курская,7,6,2,F,28.0,single,False,True,True,False,True,True,False,False,False,False,11,4,3,2,15,6000
297,Санкт-Петербург,м. Проспект Большевиков,5,5,2,F,37.0,married,True,True,False,False,True,False,False,False,False,False,7,3,1,1,12,3800
298,Москва,м. Трубная / Тургеневская,6,0,0,F,45.0,married,True,True,False,True,True,False,False,False,False,True,7,16,3,3,16,6000
299,Москва,,2,3,0,F,27.0,single,False,True,False,False,True,False,False,False,False,False,2,5,1,0,8,3000
300,Казань,,11,19,1,F,47.0,married,True,True,False,True,True,True,False,True,False,True,6,15,3,6,16,5500
301,Москва,м. Китай-город,8,0,0,F,38.0,,,True,False,False,True,False,False,False,False,False,2,4,1,5,14,5040
302,Москва,м. Краснопресненская,3,5,1,M,39.0,single,False,True,True,False,True,False,False,False,False,False,6,4,1,2,11,3600
303,Москва,,3,0,0,F,44.0,married,True,True,True,False,True,False,False,False,False,True,6,4,1,4,15,2850
304,Москва,м. Народное Ополчение,7,6,2,F,45.0,married,True,True,True,False,True,True,False,False,False,True,6,4,1,3,11,4000
305,Ярославль,,7,9,1,F,55.0,married,True,True,False,True,True,False,False,False,False,False,6,4,1,5,18,3500
306,Воронеж,,5,4,1,F,47.0,single,True,True,False,False,True,False,False,False,False,False,3,13,2,2,12,2600
307,Москва,м. Пушкинская,7,0,0,F,34.0,,,True,False,False,True,False,False,False,False,True,4,4,2,6,12,6000
308,Екатеринбург,,5,4,2,M,38.0,married,True,True,False,False,True,True,False,False,False,False,3,6,1,0,8,2790
309,Санкт-Петербург,,3,5,1,F,29.0,married,True,True,True,False,True,True,False,False,False,False,10,15,1,1,10,2500
310,Москва,м. Павелецкая,5,0,0,F,41.0,married,True,True,False,False,True,False,False,False,False,False,7,4,1,3,11,5000
311,Таганрог,,14,14,1,F,38.0,,True,True,False,True,True,False,False,False,False,False,4,4,1,1,8,4000
312,Москва,м. Менделеевская,5,0,0,F,38.0,single,False,True,True,False,True,False,False,False,False,False,4,4,1,2,11,4000
313,Санкт-Петербург,м. Озерки,4,4,1,F,38.0,single,,True,True,False,True,False,False,False,False,False,7,4,1,2,9,4000
314,Москва,м. Баррикадная / Улица 1905 года,5,5,1,F,38.0,married,True,True,False,False,True,True,False,False,False,False,7,7,1,5,10,4000
315,Санкт-Петербург,м. Петроградская,15,12,2,F,50.0,married,True,True,False,True,True,False,False,False,False,False,18,15,3,6,12,5000
316,Ростов-на-Дону,,9,9,0,M,46.0,married,,True,False,True,True,False,False,False,False,True,3,4,2,1,8,2000
317,Москва,м. Таганская,15,0,0,F,34.0,single,False,True,False,False,True,False,False,False,False,False,12,9,1,2,16,5000
318,Москва,м. Менделеевская,3,4,2,M,25.0,single,False,True,False,False,True,False,False,False,False,False,2,4,1,2,9,2500
319,Москва,,3,6,1,F,42.0,married,False,True,False,True,True,True,False,False,False,False,7,4,1,1,16,3160
320,Санкт-Петербург,м. Василеостровская,6,13,1,F,40.0,single,True,True,False,True,True,False,False,False,False,False,6,4,1,6,12,4000
321,Москва,м. Кропоткинская,10,0,0,F,35.0,single,False,True,False,False,True,False,False,False,False,False,7,4,1,0,6,6000
322,Санкт-Петербург,м. Петроградская,13,14,1,F,41.0,married,True,True,False,False,True,False,False,False,False,False,8,10,4,4,9,4800
323,Москва,м. Цветной бульвар,13,0,0,M,51.0,married,True,True,True,False,True,False,False,False,False,True,4,3,1,4,14,4500
324,Вологда,,12,0,0,F,35.0,,,True,False,False,True,False,False,False,False,False,9,4,3,4,16,4000
325,Санкт-Петербург,м.Чернышевская,3,3,1,M,26.0,single,False,True,False,False,True,True,False,False,False,True,12,4,2,1,5,3000
326,Москва,м. Китай-город / Лубянка,5,5,2,F,43.0,single,True,True,False,False,True,True,False,False,False,False,4,4,1,6,10,3500
327,Москва,м. Китай-город,5,6,2,F,29.0,married,False,True,False,False,True,True,False,False,False,True,10,4,3,5,13,3500
328,Санкт-Петербург,м. Гостиный двор,4,0,0,F,28.0,single,False,True,False,False,True,True,False,False,False,False,12,4,2,2,12,5000
329,Москва,м. Тверская,4,7,1,F,40.0,,True,True,False,True,True,True,False,False,False,False,5,4,2,3,9,3330
330,Москва,м. Пушкинская / Тверская,4,4,1,F,31.0,single,False,True,False,False,True,False,False,False,False,False,7,4,1,1,9,4000
331,Калининград,,3,0,0,F,48.0,married,False,True,False,True,True,False,False,False,False,False,7,4,1,2,14,3900
332,Москва,м. Бауманская,4,0,0,F,28.0,married,False,True,True,False,True,False,False,False,False,False,4,4,2,4,9,3500
333,Тольятти,,5,6,4,F,30.0,married,False,True,False,False,True,False,False,False,False,False,5,4,1,0,0,2000
334,Москва,м. Университет / Ломоносовский проспект,13,13,3,,37.0,,,True,False,False,True,True,False,False,False,False,6,4,1,7,16,4500
335,Москва,,9,9,1,F,43.0,single,False,True,True,False,True,False,False,False,False,False,7,4,2,2,8,5000
