,city,city_details,experience,private_experience,alter_experience,sex,age,marital_status,has_children,allow_time_request,experimentGroup,working_with.family,working_with.adults,working_with.lgbt,working_with.believer,working_with.fem,working_with.foreigner,working_with.elderly,education_count,competences_count,methods_count,expertise_count,features_of_work_count,price
439,Санкт-Петербург,м. Владимирская / Достоевская,6,0,0,F,28.0,married,False,True,False,False,True,True,False,False,False,False,4,3,1,1,13,4000
440,Москва,м. Строгино,12,0,0,F,43.0,married,True,True,False,True,True,False,True,False,False,True,8,4,1,3,9,10000
441,Санкт-Петербург,м. Петроградская,3,4,1,F,39.0,married,True,False,False,False,True,False,False,False,False,False,8,4,2,1,11,3900
442,Ростов-на-Дону,,17,18,0,M,42.0,married,True,True,False,False,True,False,False,False,False,False,4,4,1,1,7,3500
443,Москва,м.Новокузнецкая,4,0,0,M,53.0,married,True,True,False,False,True,False,False,False,False,False,3,4,1,6,9,6000
444,Москва,,7,0,0,F,46.0,married,True,True,False,False,True,True,False,False,False,False,6,14,2,3,16,3200
445,Москва,м. Павелецкая,7,0,0,F,38.0,single,False,True,False,False,True,False,False,False,False,False,19,14,4,1,18,4000
446,Санкт-Петербург,м. Чернышевская,4,0,0,M,39.0,married,True,True,True,False,True,False,False,False,False,False,3,4,1,3,8,2200
447,Геттинген,,9,9,1,F,33.0,married,,True,False,False,True,False,True,False,False,False,6,4,2,1,14,4000
448,Москва,м. Павелецкая,4,0,0,F,26.0,married,False,True,False,False,True,True,False,False,False,True,16,8,2,2,5,3000
449,Москва,м. Таганская; м. Цветной бульвар,7,6,2,F,30.0,married,False,True,False,False,True,True,False,False,False,False,7,4,3,3,7,4700
450,Москва,,3,5,1,F,29.0,married,True,True,False,False,True,True,False,False,False,False,5,4,2,1,10,3900
451,Москва,м. Академическая,8,7,1,F,46.0,married,True,True,False,False,True,False,False,False,False,True,3,19,2,6,7,4500
452,Сургут,,7,6,2,F,47.0,single,True,True,False,False,True,True,False,False,False,True,3,4,1,0,7,2000
453,Санкт-Петербург,м. Чернышевская,3,3,1,F,27.0,,,True,True,False,True,False,False,False,False,False,16,4,2,3,15,4000
454,Санкт-Петербург,м. Чернышевская; м. Ленинский проспект / Московская,7,6,3,F,38.0,married,True,True,False,False,True,True,False,True,False,False,7,3,1,3,10,4000
455,Москва,м. Достоевская / Новослободская / Цветной Бульвар,9,10,2,F,39.0,married,True,True,False,True,True,False,False,False,False,False,5,4,1,4,6,4990
456,Сочи,,2,3,0,F,35.0,married,True,True,False,False,True,False,False,False,False,False,3,6,1,3,11,1800
457,Томск,,3,3,2,F,27.0,single,False,True,False,False,True,False,False,False,False,False,10,4,1,0,10,3000
458,Санкт-Петербург,м. Сенная,14,0,0,F,,married,,True,False,False,True,False,False,False,False,True,4,3,1,3,18,3800
459,Москва,м. Цветной бульвар; м. Достоевская,19,17,3,F,44.0,married,False,True,False,False,True,True,False,False,False,False,15,4,3,2,9,6000
460,Москва,м. Чистые пруды,5,0,0,F,30.0,single,False,True,False,False,True,False,False,False,False,False,8,4,1,5,12,5000
461,Калининград,,4,3,1,F,34.0,married,False,True,True,False,True,True,False,False,False,False,7,4,1,3,10,2500
462,Санкт-Петербург,,4,0,0,F,28.0,married,False,True,False,True,True,True,False,False,False,False,13,18,3,1,17,2450
463,Москва,,3,0,0,F,,,False,True,False,False,True,False,False,False,False,False,3,3,1,1,8,4000
464,Москва,м. Сухаревская / Цветной бульвар,12,4,1,F,34.0,married,True,True,False,False,True,False,False,False,False,False,7,3,1,1,11,3000
465,Москва,м. Смоленская / Кропоткинская,17,0,0,F,48.0,,,True,False,False,True,False,False,False,False,True,3,4,1,3,9,3500
466,Санкт-Петербург,м. Балтийский Вокзал,5,5,3,F,43.0,married,True,True,False,False,True,True,False,False,False,False,5,3,1,5,9,3000
467,Москва,м. Чистые пруды,5,4,1,F,46.0,married,True,True,False,True,True,True,False,False,False,False,4,4,2,3,17,6050
468,Москва,м.Киевская,4,0,0,F,46.0,married,True,True,True,False,True,False,False,False,False,False,7,4,1,5,13,5472
469,Москва,м. Баррикадная / Краснопресненская; м. Цветной бульвар,6,5,2,M,34.0,single,True,True,False,False,True,True,False,False,False,False,6,3,1,3,8,3000
470,Тель-Авив,,8,8,4,F,33.0,single,False,True,False,False,True,True,False,False,False,False,11,4,4,3,18,5000
471,Санкт-Петербург,м. Академическая,13,13,1,F,38.0,married,True,True,False,False,True,True,False,False,False,True,5,4,3,5,12,3000
472,Санкт-Петербург,м. Гостиный двор,18,14,3,F,38.0,single,False,True,False,False,True,True,False,False,False,False,10,4,2,8,18,4000
473,Екатеринбург,,4,0,0,F,41.0,married,True,True,False,False,True,False,False,False,False,False,3,4,1,1,10,2200
474,Краснодар,,2,4,0,F,41.0,married,True,True,True,False,True,False,False,False,False,False,5,4,2,2,9,2200
475,Москва,,2,2,0,F,29.0,single,False,True,False,False,True,False,False,False,False,False,2,4,1,2,18,2200
476,Санкт-Петербург,м. Петроградская,5,0,0,F,31.0,married,False,True,False,False,True,False,False,False,False,False,8,7,2,3,11,5000
477,Санкт-Петербург,м. Удельная / Пионерская,9,0,0,F,43.0,,False,True,False,False,True,False,False,False,False,True,4,4,1,2,9,2900
478,Самара,,7,9,1,M,40.0,married,True,True,False,False,True,False,False,False,False,True,2,4,1,2,13,2500
479,Краснодар,,2,3,0,F,47.0,married,True,True,False,False,True,False,False,False,False,False,3,4,2,5,14,2200
480,Самара,,6,4,2,F,29.0,single,False,True,False,False,True,False,False,False,False,False,2,4,1,4,15,2700
481,Москва,м. Маяковская,13,12,3,F,41.0,,False,True,False,False,True,True,False,False,False,False,7,4,1,5,12,5000
482,Санкт-Петербург,,3,0,0,F,24.0,single,False,True,False,False,True,False,False,False,False,False,5,8,1,5,8,3500
483,Москва,м. Смоленская / Парк Культуры,8,8,3,M,56.0,married,True,True,False,False,True,False,False,False,False,True,4,4,1,3,10,4000
484,Уфа,,12,12,1,F,40.0,married,True,True,False,False,True,False,False,False,False,False,6,3,1,5,11,3000
485,Петрозаводск,,25,11,1,M,45.0,,True,True,True,False,True,False,False,False,False,False,10,10,3,2,13,3000
486,Москва,м. Кузнецкий мост,7,0,0,F,51.0,married,True,True,False,False,True,False,False,False,False,False,5,4,1,2,14,3500
487,Москва,м. Пятницкое шоссе,12,9,2,F,46.0,married,True,True,False,True,True,True,False,False,False,True,7,4,1,2,19,5000
488,Санкт-Петербург,м. Гостиный двор,19,23,3,F,57.0,single,True,True,True,False,True,False,False,False,False,False,7,4,2,3,11,15000
489,Москва,,12,12,2,F,37.0,married,,True,False,True,True,False,False,False,False,False,7,4,1,1,11,6000
490,Томск,,6,0,0,F,34.0,single,,True,False,False,True,True,False,False,False,False,6,3,2,5,14,3000
491,Калининград,,2,3,1,F,26.0,married,False,True,False,False,True,False,False,False,False,False,3,4,2,4,10,1800
492,Москва,м. Тверская,16,15,4,F,47.0,married,True,True,False,False,True,False,False,False,False,False,8,4,1,5,12,5000
493,Санкт-Петербург,м. Чернышевская,9,0,0,F,51.0,married,True,True,False,False,True,False,False,False,False,True,7,4,2,2,7,2850
494,Ростов-на-Дону,,17,0,0,F,49.0,married,True,True,True,False,True,False,False,False,False,False,4,4,1,1,9,4000
495,Таганрог,,5,4,1,F,39.0,married,True,True,True,False,True,True,False,False,False,False,7,4,1,3,11,2500
496,Пермь,Центр города,5,0,0,F,42.0,married,True,True,False,False,True,False,False,False,False,False,9,4,1,5,20,3000
497,Краснодар,,2,0,0,F,41.0,married,True,True,False,False,True,False,False,False,False,False,7,16,3,3,17,2200
498,Санкт-Петербург,,8,7,2,F,30.0,single,False,True,False,False,True,True,False,False,False,True,4,4,2,3,10,3000
499,Санкт-Петербург,м. Площадь Восстания,13,0,0,F,33.0,married,False,True,False,True,True,False,False,False,False,False,8,4,3,5,15,4000
500,Калининград,,4,8,1,F,36.0,married,,True,True,False,True,False,False,False,False,False,5,6,3,2,16,2000
501,Москва,м. Краснопресненская,10,10,3,F,32.0,,,True,False,False,True,True,False,False,False,True,11,4,2,8,13,5000
502,Санкт-Петербург,м. Маяковская / Площадь Восстания,8,6,4,M,39.0,married,False,True,False,False,True,False,False,False,False,False,4,4,1,1,16,3500
503,Москва,м. Китай-город,5,0,0,F,30.0,married,False,True,False,False,True,True,False,False,False,False,5,4,1,0,10,2500
504,Москва,м. Цветной бульвар,5,0,0,F,51.0,married,True,True,False,False,True,True,True,False,False,False,9,4,3,1,14,5000
505,Москва,м. Цветной бульвар,4,5,0,M,44.0,married,True,True,True,False,True,False,False,False,False,True,4,4,1,3,11,2880
506,Одинцово,Московская область,3,14,1,F,44.0,married,True,True,False,True,True,True,False,False,False,True,9,6,2,2,17,3500
507,Санкт-Петербург,м. Петроградская,8,0,0,F,39.0,single,False,True,False,True,True,False,False,False,False,False,5,4,1,4,15,3500
508,Москва,м. Сухаревская / Трубная / Цветной бульвар,7,6,3,F,42.0,married,,True,True,False,True,False,False,False,False,True,4,4,2,2,13,3500
509,Москва,м. Китай-город,2,5,1,F,32.0,single,False,True,False,False,True,True,False,False,False,False,5,4,1,5,14,5000
510,Самара,м. Российская,10,0,0,M,40.0,single,False,True,False,False,True,False,False,False,False,True,8,4,3,7,12,5000
511,Москва,м. Белорусская,9,9,2,F,45.0,married,True,True,True,False,True,True,False,False,False,False,5,3,1,4,11,5000
512,Москва,м. Третьяковская / Новокузнецкая,5,0,0,F,33.0,single,False,True,False,False,True,False,False,False,False,False,4,4,1,2,4,4000
513,Ессентуки,,8,0,0,F,43.0,single,True,True,False,False,True,False,False,False,False,False,7,4,2,3,14,3600
514,Москва,,3,3,1,F,35.0,married,False,True,False,False,True,True,False,False,False,False,21,3,4,5,12,4000
515,Санкт-Петербург,м. Адмиралтейская,4,4,2,M,33.0,married,False,True,True,False,True,True,False,False,False,False,10,4,1,6,10,4000
516,Москва,м. Арбатская,7,12,3,M,34.0,married,False,True,False,False,True,False,False,False,False,False,6,4,1,1,13,5000
517,Санкт-Петербург,м. Чернышевская,8,10,3,F,46.0,married,True,True,False,False,True,False,False,False,False,False,3,4,2,4,12,4000
518,Москва,м. Белорусская,4,0,0,F,35.0,,,True,True,False,True,False,False,False,False,False,3,4,2,3,19,3500
519,Москва,м. Славянский бульвар,10,11,1,F,,,,True,False,False,True,True,False,False,False,False,12,18,3,5,13,4000
520,Москва,м. Трубная,10,11,3,F,36.0,single,False,True,False,False,True,True,False,False,False,False,19,4,3,2,12,6000
521,Москва,м. Шоссе Энтузиастов,12,11,3,M,34.0,married,True,True,False,True,True,False,False,False,False,False,6,4,1,1,10,6000
522,Москва,м. Белорусская,8,0,0,F,52.0,married,True,True,False,False,True,True,False,False,False,True,4,11,2,5,13,4000
523,Ижевск,,9,0,0,F,44.0,married,True,True,False,True,True,False,False,False,False,False,8,3,1,2,16,7000
524,Москва,,9,11,0,F,46.0,married,False,True,False,False,True,False,False,False,False,False,2,4,2,1,8,3000
525,Санкт-Петербург,м. Сенная площадь / Спасская,4,3,1,M,37.0,married,False,True,True,False,True,True,False,False,False,False,6,4,1,3,9,3500
526,Санкт-Петербург,м. Площадь Восстания,6,7,1,F,,married,True,True,False,False,True,False,False,False,False,False,6,11,2,0,10,3000
527,Санкт-Петербург,,3,4,1,F,30.0,single,False,True,True,False,True,False,False,False,False,True,6,4,2,5,9,4000
528,Москва,,3,0,0,F,44.0,married,False,True,False,False,True,False,False,False,False,False,8,12,3,3,15,2800
529,Москва,,4,0,0,M,36.0,married,False,True,False,False,True,False,False,False,False,True,2,7,1,2,9,2850
530,Москва,м. Китай-город,2,3,1,F,36.0,,False,True,False,False,True,True,False,False,False,False,6,3,2,5,5,2220
531,Санкт-Петербург,м. Петроградская,8,10,2,F,41.0,single,False,True,False,False,True,False,False,False,False,False,8,4,1,1,10,3500
532,Москва,м. Проспект Мира,5,0,0,M,34.0,single,False,True,False,False,True,False,False,False,False,False,9,4,2,3,13,4000
533,Лондон,,3,3,2,F,35.0,married,True,True,False,False,True,False,False,False,False,False,19,4,2,2,9,2800
534,Орел,,7,0,0,F,44.0,married,True,True,False,False,True,False,False,False,False,False,11,4,1,4,14,2900
535,Екатеринбург,,24,0,0,F,52.0,married,True,True,True,False,True,True,False,False,False,False,17,4,2,3,10,3500
536,Санкт-Петербург,м. Площадь Восстания / Чернышевская,10,0,0,F,32.0,married,True,True,False,False,True,False,False,False,False,False,7,5,3,2,9,3000
537,Москва,м. Кропоткинская,5,0,0,F,,,,True,False,False,True,False,False,False,False,True,10,3,1,2,13,3000
538,Москва,,3,0,0,F,,single,True,True,False,False,True,False,False,False,False,False,5,6,2,1,14,3000
539,Санкт-Петербург,м. Площадь Восстания,3,4,1,M,37.0,single,False,True,False,False,True,False,False,False,False,False,3,4,2,6,10,2500
540,Курск,,6,7,1,M,43.0,married,True,True,False,True,True,True,False,True,False,False,12,10,3,1,8,3600
541,Москва,,4,5,1,F,41.0,married,True,True,True,False,True,True,False,False,False,False,8,7,2,3,10,3000
542,Воронеж,,7,10,1,F,32.0,married,True,True,False,False,True,True,False,False,False,False,5,4,2,5,12,2160
543,Санкт-Петербург,,8,0,0,F,33.0,single,False,True,False,False,True,True,False,False,False,False,9,4,2,7,12,3000
544,Санкт-Петербург,м. Площадь Восстания,9,0,0,F,54.0,married,True,True,True,False,True,False,False,False,False,False,7,4,2,3,16,4500
545,Санкт-Петербург,"м. Гостиный двор, м. Чернышевская",12,0,0,F,49.0,married,True,True,False,False,True,False,False,False,False,False,8,4,1,1,15,3000
546,Нижний Новгород,м. Горьковская,12,0,0,M,34.0,married,False,True,False,False,True,False,False,False,False,True,6,4,2,2,20,3000
547,Ростов-на-Дону,,11,9,3,M,34.0,married,True,True,False,False,True,True,False,False,False,False,8,3,2,7,15,2500
548,Томск,,4,3,2,M,29.0,single,False,True,False,False,True,False,False,False,False,False,2,4,1,2,14,3000
549,Санкт-Петербург,м. Невский проспект,3,0,0,F,35.0,married,False,True,True,False,True,True,False,False,False,False,10,4,3,0,10,3500
550,Москва,м. Курская,11,11,3,F,37.0,married,True,True,False,False,True,False,False,False,False,False,8,4,1,3,10,3000
551,Санкт-Петербург,м. Площадь Восстания,3,0,0,F,36.0,single,False,True,True,False,True,False,False,False,False,False,3,4,1,5,11,3500
552,Нижний Новгород,,11,13,0,F,43.0,married,True,True,False,False,True,False,False,False,False,False,4,8,1,4,14,3000
553,Санкт-Петербург,м. Спортивная,9,9,2,F,32.0,married,False,True,False,False,True,True,False,False,False,False,10,4,1,3,9,3500
554,Санкт-Петербург,м. Площадь Восстания; м. Сенная площадь / Садовая / Спасская,10,9,3,F,31.0,married,False,True,False,False,True,True,False,False,False,False,5,4,1,1,9,3500
555,Санкт-Петербург,м. Невский проспект; м. Сенная,13,23,2,M,46.0,married,False,True,False,False,True,False,False,False,False,True,9,4,1,2,17,5000
556,Москва,м. Китай-город,13,7,2,F,36.0,single,True,True,False,True,True,False,False,False,False,False,4,4,1,1,10,4000
557,Санкт-Петербург,,4,0,0,F,27.0,married,False,True,False,False,True,True,False,False,False,False,7,4,1,2,11,3500
558,Москва,м. Китай-город,8,10,1,F,33.0,,,True,False,False,True,True,False,False,False,False,8,4,2,4,5,4000
559,Нетания,,7,7,1,F,39.0,married,True,True,False,False,True,True,False,True,False,False,14,12,3,1,11,4000
560,Москва,,15,0,0,F,34.0,married,True,True,False,False,True,False,False,False,False,False,5,4,1,2,14,4320
561,Москва,,5,0,0,F,36.0,married,False,True,False,False,True,False,False,False,False,False,6,6,1,5,10,3500
562,Санкт-Петербург,,4,4,1,F,32.0,,False,True,True,False,True,False,False,False,False,False,5,4,1,2,9,3500
563,Балашиха,мкр. Железнодорожный,6,5,3,M,49.0,married,True,True,False,False,True,False,False,False,False,True,10,4,3,6,14,4000
564,Новосибирск,м. Октябрьское,5,4,2,F,37.0,married,True,True,False,False,True,False,False,False,False,False,6,4,1,2,6,3000
565,Москва,м. Бауманская; м. Цветной бульвар,11,0,0,M,43.0,married,True,True,False,True,True,False,False,False,False,False,2,4,1,4,12,5500
566,Санкт-Петербург,м. Ладожская,9,0,0,F,41.0,married,True,True,False,True,True,False,False,False,False,False,7,4,1,2,17,3500
567,Москва,м. Цветной бульвар,8,7,4,F,44.0,married,True,True,False,False,True,False,False,False,False,True,3,3,1,1,7,3500
568,Санкт-Петербург,м. Спортивная,2,2,1,F,27.0,single,False,True,True,False,True,False,False,False,False,False,4,4,1,4,8,2200
569,Москва,,4,4,1,F,34.0,single,False,True,False,False,True,True,False,False,False,False,6,4,1,2,9,3500
570,Москва,,6,5,0,F,34.0,married,True,True,True,False,True,False,False,False,False,False,8,4,2,2,9,2900
571,Тбилиси,,7,6,1,M,30.0,married,False,True,True,False,True,False,False,False,False,True,5,4,1,4,19,3800
572,Санкт-Петербург,м. Горьковская / Петроградская,13,0,0,F,,,,False,False,False,True,True,False,False,False,False,4,4,1,5,9,3000
573,Москва,м. Достоевская,12,9,1,F,51.0,married,True,True,False,False,True,False,False,False,False,False,5,4,1,5,7,6000
574,Санкт-Петербург,м. Невский проспект,6,0,0,F,40.0,married,True,True,False,False,True,True,False,False,False,True,8,4,1,5,13,4500
575,Санкт-Петербург,м. Площадь Восстания,7,6,3,M,30.0,single,False,True,False,False,True,True,False,False,False,False,28,4,2,3,7,7500
576,Минск,м. Академия Наук,5,0,0,F,47.0,single,True,True,False,False,True,False,False,False,False,False,4,3,2,3,17,4000
577,Москва,м. Чистые пруды / Лубянка,11,13,0,F,39.0,single,False,False,False,False,True,False,False,False,False,False,12,4,4,1,5,3500
578,Краснодар,,5,5,0,F,27.0,married,,True,True,False,True,False,False,False,False,False,8,4,2,2,13,2000
579,Санкт-Петербург,м. Пролетарская,6,0,0,F,41.0,,,True,False,False,True,False,False,False,False,False,5,4,2,4,15,3000
580,Москва,м. Новокузнецкая/Третьяковская,9,9,1,F,57.0,married,True,True,False,True,True,False,False,False,False,True,9,4,3,5,16,3500
581,Москва,м. Нагатинская,5,6,1,F,37.0,married,True,True,True,False,True,True,False,False,False,False,8,4,2,5,9,3500
582,Смоленск,,17,0,0,F,43.0,single,False,True,False,False,True,False,False,False,False,False,5,4,1,4,13,4470
583,Москва,м. Третьяковская,12,10,3,F,41.0,married,True,True,False,False,True,False,False,False,False,False,4,4,1,4,11,4000
584,Москва,м. Павелецкая,3,4,1,F,28.0,single,False,True,False,False,True,False,False,False,False,False,4,5,1,7,5,2500
585,Москва,,2,3,0,F,26.0,married,False,True,False,True,True,False,True,False,False,True,3,10,3,2,14,2000
586,Москва,,7,0,0,F,39.0,single,False,False,False,False,True,False,False,False,False,False,8,4,2,3,10,2850
587,Калининград,,4,4,2,F,52.0,married,True,True,True,False,True,False,False,False,False,True,3,4,1,1,6,2000
588,Москва,,6,6,1,F,42.0,single,True,True,True,False,True,False,False,False,False,False,5,4,1,4,12,3000
589,Москва,м. Добрынинская / Октябрьская,18,17,3,F,50.0,married,True,True,False,False,True,False,False,False,False,False,22,4,1,4,8,7000
590,Москва,м. Смоленская,7,6,3,F,42.0,married,True,True,False,False,True,False,False,False,False,False,6,4,3,2,11,5000
591,Курск,,4,14,1,F,37.0,married,True,True,False,False,True,True,False,False,False,False,9,4,3,1,8,2600
592,Севастополь,Гагаринский район,11,0,0,F,51.0,married,True,True,False,True,True,False,False,False,False,False,4,12,2,1,11,7500
593,Москва,м. Профсоюзная,14,13,1,F,52.0,married,True,True,False,False,True,True,False,False,False,True,10,4,2,4,12,4500
594,Хабаровск,,8,12,1,F,36.0,married,True,True,False,False,True,False,False,False,False,False,7,11,2,4,13,2750
595,Смоленск,,4,0,0,F,43.0,single,True,True,False,True,True,False,False,False,False,True,4,11,2,5,10,4100
596,Москва,,19,0,0,F,43.0,married,,True,False,True,True,True,False,False,False,True,6,4,1,3,14,2850
597,Москва,м. Калитники,15,15,3,F,53.0,married,True,True,False,False,True,True,False,False,False,False,14,24,3,3,17,3500
598,Екатеринбург,,2,0,0,F,46.0,married,,True,True,False,True,False,False,False,False,False,10,4,3,3,16,2500
599,Санкт-Петербург,м. Академическая,19,16,3,M,48.0,married,False,True,False,False,True,True,False,False,False,False,5,4,1,4,11,4000
600,Москва,м. Третьяковская / Новокузнецкая,25,0,0,F,50.0,married,True,True,False,False,True,False,False,False,False,False,9,4,3,2,13,4500
601,Тверь,,8,7,2,F,49.0,married,True,True,False,False,True,True,False,False,False,False,5,4,1,1,13,2800
602,Москва,м. Чистые пруды,5,5,2,F,30.0,married,False,True,False,False,True,True,False,False,False,False,4,3,1,2,8,4500
603,Москва,,4,11,1,F,52.0,married,True,True,False,False,True,False,False,False,False,False,6,4,1,4,8,3700
604,Чебоксары,,6,7,0,F,44.0,single,True,True,True,False,True,False,False,False,False,False,5,8,1,2,21,3000
605,Москва,м. Китай-город / Лубянка,3,3,1,F,33.0,,,True,False,False,True,False,False,False,False,False,4,4,1,2,9,3700
606,Санкт-Петербург,,3,0,0,F,34.0,single,True,True,False,True,True,False,False,False,False,True,8,12,4,6,19,2790
607,Москва,,20,23,1,F,57.0,single,True,True,False,True,True,True,False,False,False,False,5,4,1,5,12,7760
608,Москва,м. Китай-город / Чистые Пруды,7,0,0,F,37.0,single,False,True,True,False,True,True,False,False,False,False,7,4,1,1,11,4500
609,Москва,м. Трубная / Цветной бульвар,8,10,2,F,48.0,married,True,True,True,False,True,True,False,False,False,True,4,3,1,5,12,4000
610,Санкт-Петербург,м. Проспект Просвещения,6,0,0,M,41.0,married,True,True,True,False,True,False,False,False,False,False,5,4,2,3,4,5000
611,Санкт-Петербург,,4,0,0,F,40.0,married,True,True,False,False,True,False,False,False,False,False,2,7,1,4,14,2850
612,Москва,м. Краснопресненская,3,7,1,M,33.0,married,False,True,True,False,True,False,False,False,False,False,3,4,1,2,19,4000
613,Воронеж,,7,9,1,F,,,,True,True,False,True,False,False,False,False,False,5,4,3,3,13,3400
614,Москва,м. Красносельская,20,14,4,F,40.0,married,True,True,False,False,True,True,False,True,False,True,5,4,1,3,5,7000
615,Воронеж,,8,5,3,F,36.0,married,True,True,False,True,True,True,False,False,False,False,15,5,1,1,15,2500
616,Москва,м. Белорусская / Менделеевская,4,4,1,F,30.0,married,False,True,False,False,True,False,False,False,False,False,2,4,1,0,9,3000
617,Санкт-Петербург,м. Фрунзенская,5,0,0,F,36.0,single,True,True,True,False,True,True,False,False,False,True,6,4,1,2,12,3500
618,Ростов-на-Дону,,16,15,3,F,41.0,married,True,True,True,False,True,False,False,False,False,False,5,4,1,2,9,3000
619,Санкт-Петербург,м. Горьковская;  м. Чернышевская,7,0,0,F,41.0,married,True,True,False,False,True,True,False,False,False,True,11,4,1,3,16,4000
620,Москва,м. Трубная / Цветной бульвар,14,22,4,F,45.0,single,False,True,False,False,True,True,False,False,False,True,6,4,1,3,15,4000
621,Ростов-на-Дону,,3,6,1,F,47.0,single,True,True,False,False,True,False,False,False,False,False,5,19,2,4,11,2500
622,Санкт-Петербург,,8,0,0,F,33.0,married,True,True,False,False,True,False,False,False,False,True,10,8,2,5,20,3500
623,Чианг Май,,6,5,2,M,34.0,single,False,True,False,False,True,False,False,False,False,True,7,4,4,2,12,4000
624,Нижний Новгород,м. Горьковская,3,4,1,F,45.0,married,True,True,False,True,True,False,False,False,False,True,3,7,2,2,14,2000
625,Москва,м. Кузнецкий мост / Трубная / Цветной бульвар,3,3,1,F,33.0,,,True,False,False,True,True,False,True,False,False,7,4,2,0,22,4000
626,Санкт-Петербург,м. Лиговский проспект / Звенигородская / Владимирская,5,5,0,F,43.0,married,False,True,True,False,True,False,False,False,False,False,5,4,1,5,16,3000
627,Санкт-Петербург,м. Василеостровская,7,0,0,M,40.0,,,True,False,True,True,True,False,False,False,False,4,4,3,6,14,5000
628,Санкт-Петербург,м. Фрунзенская / Технологический институт,3,0,0,M,33.0,married,False,True,True,False,True,False,False,False,False,False,3,4,1,3,12,2770
629,Санкт-Петербург,м. Маяковская / Площадь Восстания,10,8,3,F,30.0,married,False,True,False,True,True,False,False,False,False,False,18,4,5,6,20,3500
630,Дубай,,7,7,3,F,44.0,married,,True,False,False,True,True,False,False,False,True,5,4,2,4,15,5000
631,Санкт-Петербург,м. Петроградская,23,3,2,F,59.0,married,True,True,False,False,True,False,False,False,False,True,6,22,1,3,12,2800
632,Москва,м. Чкаловская / Китай-город / Таганская,8,0,0,F,31.0,,,True,False,False,True,False,False,False,False,False,19,4,2,1,11,5000
633,Москва,м. Боровицкая / Кропоткинская,15,0,0,F,38.0,married,True,True,False,False,True,False,False,False,False,False,15,4,1,1,12,7000
634,Москва,м. Кропоткинская; м. Белорусская,5,5,1,F,43.0,married,True,True,False,True,True,True,False,False,False,False,15,4,3,1,18,5500
635,Москва,,5,0,0,F,35.0,,,False,False,False,True,True,False,False,False,False,12,4,2,1,13,4000
636,Москва,,19,0,0,F,45.0,married,True,True,False,False,True,False,False,False,False,False,3,4,1,1,1,4500
637,Санкт-Петербург,м. Чернышевская,4,11,1,F,36.0,married,True,True,False,True,True,False,False,False,False,False,2,3,1,4,11,3330
638,Москва,,8,12,1,F,39.0,married,True,False,False,True,True,True,False,False,False,False,3,4,1,1,13,4900
639,Санкт-Петербург,,6,5,1,F,34.0,married,False,True,False,False,True,True,False,True,False,False,7,4,1,2,13,2850
640,Минеральные Воды,,11,0,0,F,43.0,married,True,True,True,False,True,True,False,False,False,True,5,4,1,4,12,3000
641,Валенсия,Ayora,6,0,0,F,42.0,married,False,True,False,False,True,False,False,False,False,False,5,3,1,0,14,6000
642,Сургут,,16,16,0,F,53.0,married,True,True,False,False,True,False,False,False,False,True,3,7,1,4,8,2850
643,Москва,м. Белорусская,8,9,1,F,30.0,single,False,True,False,False,True,True,False,False,False,False,6,4,1,1,15,3500
644,Санкт-Петербург,м. Сенная площадь / Спасская / Садовая,7,6,2,F,40.0,single,True,True,False,False,True,True,False,False,False,False,3,4,1,2,11,3000
645,Москва,,3,0,0,F,41.0,married,True,True,False,False,True,False,False,False,False,False,5,4,3,1,13,4500
646,Санкт-Петербург,м. Площадь Восстания,6,7,0,F,31.0,married,False,True,False,False,True,True,False,False,False,False,9,4,2,4,12,3000
647,Москва,м. Павелецкая,12,0,0,F,48.0,married,True,True,False,False,True,False,False,False,False,False,4,4,1,2,11,4500
648,Москва,м. Академическая,4,0,0,F,55.0,married,True,True,False,True,True,False,False,False,False,True,5,10,2,6,18,5000
649,Москва,м. Цветной бульвар,6,5,1,F,29.0,married,True,True,False,False,True,True,False,False,False,False,9,4,1,1,11,4500
650,Москва,м. Чистые Пруды / Сретенский Бульвар / Тургеневская,5,0,0,F,34.0,single,False,True,False,False,True,True,False,False,False,False,7,4,2,3,15,5040
651,Москва,м. Красные ворота,13,13,2,F,45.0,married,True,True,False,False,True,False,False,False,False,False,11,4,2,6,15,3000
652,Санкт-Петербург,,5,6,1,F,33.0,married,True,True,True,False,True,False,False,False,False,False,17,4,3,5,12,5000
653,Тбилиси,м. Улица Руставели,5,5,3,F,29.0,married,False,True,False,True,True,True,False,False,False,False,9,8,2,4,12,6000
654,Торонто,,9,8,3,M,38.0,married,False,True,False,True,True,False,False,False,True,False,6,4,2,2,8,4500
655,Калининград,,3,4,0,F,32.0,married,False,True,True,False,True,False,False,False,False,False,6,7,1,5,18,2850
656,Москва,м. Китай-город,7,0,0,F,,,,True,False,False,True,True,False,False,False,False,8,4,1,3,11,7000
657,Екатеринбург,,7,0,0,F,42.0,single,False,True,False,True,True,False,False,False,False,False,3,8,2,3,10,4500
658,Санкт-Петербург,м. Гостиный двор,6,0,0,F,37.0,single,True,True,False,False,True,False,False,False,False,False,2,4,1,4,9,4000
659,Ашдод,,5,4,3,F,28.0,married,False,True,False,False,True,False,False,False,False,False,9,4,1,2,15,4000
660,Москва,,4,5,1,F,34.0,married,False,True,False,False,True,True,False,False,False,False,6,4,3,1,10,3500
